lon,lat
152.028367,-31.27824604
150.9951963,-32.85537884
149.7684501,-33.39015777
151.5188473,-32.95465102
150.6239522,-33.94253062
150.085034,-34.592795
151.1556912,-33.66474279
149.9911205,-32.93829364
151.2264491,-33.76492412
152.3146892,-29.54723198
149.8451431,-32.43386936
150.289834,-33.66222122
150.3775461,-32.8401209
150.483691,-32.77287039
151.3767538,-30.45759532
152.2538025,-29.06514435
152.2564289,-29.08564661
152.2564289,-29.08564661
152.2525983,-29.1038566
152.2578453,-29.08872309
150.3384082,-32.84880649
151.2799623,-33.68301959
150.0122787,-31.69490636
150.2055908,-31.8212072
150.0116104,-31.69272669
150.072383,-31.71190099
150.0495423,-31.71837094
150.2230591,-31.82330324
149.4225236,-35.56601918
151.2874713,-33.51784415
151.2539423,-33.52549206
148.990581,-35.55860341
149.8801731,-33.7084372
152.3101641,-29.49009019
151.5840748,-30.34452123
151.5837359,-30.29579472
151.583684,-30.29940326
149.8570329,-34.24704681
150.8037499,-34.42469215
150.0602345,-33.97319842
150.064986,-33.98919528
150.060446,-33.96988619
150.0628263,-33.97114199
149.3587582,-35.78739574
150.3404911,-30.35742233
150.3140431,-30.06597122
152.1432457,-28.94336316
152.0269144,-28.87488169
152.0173976,-28.90549883
152.3174039,-29.14111623
152.4312512,-29.18948276
152.1527589,-28.9091265
152.029007,-28.87038409
152.2647611,-30.85723584
152.4092546,-29.0792767
148.5081243,-33.42315348
150.4860261,-33.96099469
150.5665468,-33.923395
