species,lon,lat
Rhinella marina,134.07024,-12.32506
Rhinella marina,134.0757965,-12.25601829
Rhinella marina,134.0851,-12.63748
Rhinella marina,134.0852922,-12.26980324
Rhinella marina,134.09105,-12.63321
Rhinella marina,134.09196,-12.62773
Rhinella marina,134.09198,-12.5434
Rhinella marina,134.09482,-12.65082
Rhinella marina,134.09637,-12.64216
Rhinella marina,134.09685,-12.62836
Rhinella marina,134.09702,-12.63506
Rhinella marina,134.09808,-12.64006
Rhinella marina,134.0996,-12.54639
Rhinella marina,134.10027,-12.6207
Rhinella marina,134.10867,-14.22603
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.1096059,-14.2324854
Rhinella marina,134.1096059,-14.23248542
Rhinella marina,134.11208,-14.22166
Rhinella marina,134.11433,-14.21524
Rhinella marina,134.11433,-14.21524
Rhinella marina,134.11433,-14.21524
Rhinella marina,134.11449,-15.28437
Rhinella marina,134.1146155,-14.2453246
Rhinella marina,134.1146155,-14.24532465
Rhinella marina,134.1146228,-14.20130172
Rhinella marina,134.1146228,-14.20130172
Rhinella marina,134.11603,-12.53863
Rhinella marina,134.13039,-15.29727
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1322491,-14.23886354
Rhinella marina,134.1332152,-14.2412147
Rhinella marina,134.1772413,-14.1880503
Rhinella marina,134.1772413,-14.18805035
Rhinella marina,134.1782075,-14.18850549
Rhinella marina,134.1782075,-14.1885055
Rhinella marina,134.1795856,-14.1742185
Rhinella marina,134.1807599,-14.18413466
Rhinella marina,134.1807599,-14.18413466
Rhinella marina,134.1807599,-14.1841347
Rhinella marina,134.1807599,-14.18413466
Rhinella marina,134.18732,-12.29952
Rhinella marina,134.18917,-12.30032
Rhinella marina,134.1902678,-14.15619828
Rhinella marina,134.1902678,-14.15619828
Rhinella marina,134.19783,-12.29135
Rhinella marina,134.19858,-12.28944
Rhinella marina,134.2000943,-15.39586256
Rhinella marina,134.2000943,-15.39586256
Rhinella marina,134.21168,-14.62837
Rhinella marina,134.2128784,-14.1659622
Rhinella marina,134.2128784,-14.16596219
Rhinella marina,134.2128784,-14.16596219
Rhinella marina,134.2128784,-14.16596219
Rhinella marina,134.22568,-14.62997
Rhinella marina,134.22568,-14.62997
Rhinella marina,134.2651826,-14.0449014
Rhinella marina,134.2651826,-14.04490144
Rhinella marina,134.2726293,-14.0426653
Rhinella marina,134.2752654,-14.0403694
Rhinella marina,134.2752654,-14.04036943
Rhinella marina,134.276112,-14.17811
Rhinella marina,134.27798,-14.60447
Rhinella marina,134.2898258,-14.18513596
Rhinella marina,134.2913264,-14.0356728
Rhinella marina,134.2913264,-14.0356728
Rhinella marina,134.296574,-12.638052
Rhinella marina,134.297553,-12.639749
Rhinella marina,134.29787,-12.65183
Rhinella marina,134.29847,-12.64609
Rhinella marina,134.299002,-12.649195
Rhinella marina,134.30011,-12.65157
Rhinella marina,134.3212483,-14.02024146
Rhinella marina,134.3258352,-14.0214947
Rhinella marina,134.3258352,-14.02149472
Rhinella marina,134.334888,-12.773437
Rhinella marina,134.338879,-12.773376
Rhinella marina,134.3464102,-14.11732326
Rhinella marina,134.35918,-14.68767
Rhinella marina,134.36078,-14.64817
Rhinella marina,134.36638,-14.78847
Rhinella marina,134.37927,-12.37238
Rhinella marina,134.39695,-12.42143
Rhinella marina,134.40032,-12.42033
Rhinella marina,134.40518,-14.23604
Rhinella marina,134.41149,-14.81737
