species,lon,lat
Egernia cunninghami,150.8699841,-32.09914169
Egernia cunninghami,149.7623657,-37.12324065
Egernia cunninghami,148.15,-37.62
Egernia cunninghami,143.21,-38.17
Egernia cunninghami,153.2677373,-29.01507761
Egernia cunninghami,151.9177698,-30.41507782
Egernia cunninghami,152.7933033,-31.1297642
Egernia cunninghami,152.2667655,-30.51787457
Egernia cunninghami,153.041667,-26.025
Egernia cunninghami,152.0428238,-32.52298658
Egernia cunninghami,151.1630728,-28.29433922
Egernia cunninghami,149.0555573,-35.42556
Egernia cunninghami,151.9167,-27.4
Egernia cunninghami,149.6,-37.6
Egernia cunninghami,141.29,-37.68
Egernia cunninghami,142.63,-37.32
Egernia cunninghami,149.9011131,-34.09719388
Egernia cunninghami,149.942,-33.21397192
Egernia cunninghami,148.9129044,-35.58600462
Egernia cunninghami,148.22,-37.39
Egernia cunninghami,152.8969014,-27.43173813
Egernia cunninghami,143.3772,-37.65167
Egernia cunninghami,151.8940766,-30.89610375
Egernia cunninghami,152.7303995,-29.64078156
Egernia cunninghami,150.7226628,-34.29586953
Egernia cunninghami,144.38,-36.79
Egernia cunninghami,152.9434177,-29.29311988
Egernia cunninghami,138.32091,-35.51512
Egernia cunninghami,152.9627778,-26.53888889
Egernia cunninghami,150.10235,-32.34972998
Egernia cunninghami,150.5633,-34.89444
Egernia cunninghami,144.3986,-37.90389
Egernia cunninghami,139.7289,-34.77734
Egernia cunninghami,152.7774644,-29.82792437
Egernia cunninghami,145.08,-37.48
Egernia cunninghami,150.7512095,-33.9107654
Egernia cunninghami,147.9746949,-35.21314448
Egernia cunninghami,151.8895,-26.84222
Egernia cunninghami,137.7164,-34.34778
Egernia cunninghami,143.28,-38.1
Egernia cunninghami,151.586978,-24.62710443
Egernia cunninghami,149.83,-36.18
Egernia cunninghami,150.5240947,-26.18815997
Egernia cunninghami,137.9764,-33.01445
Egernia cunninghami,148.9814119,-31.0163771
Egernia cunninghami,139.5889,-34.55861
Egernia cunninghami,145.7564,-36.26167
Egernia cunninghami,152.1925378,-30.86402377
Egernia cunninghami,152.7622925,-30.13268819
Egernia cunninghami,144.27,-38.17
Egernia cunninghami,152.8651902,-26.82908526
Egernia cunninghami,152.51,-32.24
Egernia cunninghami,152.4985985,-31.93112394
Egernia cunninghami,147.27,-36.61
Egernia cunninghami,151.0013804,-27.85189309
Egernia cunninghami,150.460823,-32.77007337
Egernia cunninghami,153.0575,-26.73139
Egernia cunninghami,150.2533264,-33.70138931
Egernia cunninghami,152.72,-26.325
Egernia cunninghami,152.4397458,-32.04139301
Egernia cunninghami,150.1233,-36.12028
Egernia cunninghami,149.593284,-33.53985421
Egernia cunninghami,149.2655838,-30.87539295
Egernia cunninghami,141.57,-37.91
Egernia cunninghami,151.5,-28.42194
Egernia cunninghami,148.4881825,-35.71461037
Egernia cunninghami,148.0288433,-35.9493871
Egernia cunninghami,149.0164,-26.5856
Egernia cunninghami,151.1374499,-32.46217698
Egernia cunninghami,143.79,-37.54
Egernia cunninghami,152.326192,-29.52472864
Egernia cunninghami,151.035,-26.46694
Egernia cunninghami,138.4811,-34.83833
Egernia cunninghami,147.32,-36.89
Egernia cunninghami,151.35806,-32.95667
Egernia cunninghami,151.4897,-31.26694
Egernia cunninghami,149.2876806,-35.18103223
Egernia cunninghami,151.7967566,-32.77072692
Egernia cunninghami,152.9757169,-28.55416984
Egernia cunninghami,150.6917,-35.075
Egernia cunninghami,145.07,-37.61
Egernia cunninghami,151.125173,-28.6014126
Egernia cunninghami,144.3175,-37.41778
Egernia cunninghami,139.52967,-34.75748
Egernia cunninghami,146.74,-37.44
Egernia cunninghami,144.5881,-34.89667
Egernia cunninghami,144.07,-37.38
Egernia cunninghami,144.1147,-36.68417
Egernia cunninghami,147.37,-36.17
Egernia cunninghami,153.3501568,-29.00249972
Egernia cunninghami,143.4439,-35.22194
Egernia cunninghami,143.31,-35.65
Egernia cunninghami,149.5179572,-36.74206903
Egernia cunninghami,147.7320447,-34.89925461
Egernia cunninghami,141.27,-37.68
Egernia cunninghami,152.1354985,-25.50118378
Egernia cunninghami,150.1360545,-32.6991416
Egernia cunninghami,146.47,-37.99
Egernia cunninghami,149.44471,-29.31277
Egernia cunninghami,138.83954,-34.85868
Egernia cunninghami,143.6180573,-34.6680603
Egernia cunninghami,151.0828,-33.13194
Egernia cunninghami,151.42,-31.95
Egernia cunninghami,148.2191689,-34.90890789
Egernia cunninghami,145.74,-37.82
Egernia cunninghami,145.4311,-36.22861
Egernia cunninghami,151.2735051,-33.75932746
Egernia cunninghami,152.1654655,-31.44851171
Egernia cunninghami,141.06,-34.17
Egernia cunninghami,145.1998653,-33.97921728
Egernia cunninghami,138.55992,-34.47082
Egernia cunninghami,148.7605435,-31.54922643
Egernia cunninghami,152.7843951,-26.99841856
Egernia cunninghami,149.7527204,-37.06480064
Egernia cunninghami,144.77,-38.36
Egernia cunninghami,144.35,-35.9
Egernia cunninghami,139.4346674,-34.14852637
Egernia cunninghami,150.2678071,-31.11509419
Egernia cunninghami,152.44,-30.6
Egernia cunninghami,152.7435374,-31.34180076
Egernia cunninghami,143.21,-38.43
Egernia cunninghami,152.525,-32.375
Egernia cunninghami,143.4833,-36.1
Egernia cunninghami,151.0960684,-26.12286116
Egernia cunninghami,142.98,-36.82
Egernia cunninghami,147.7392361,-30.86164951
Egernia cunninghami,150.6028894,-33.22065554
Egernia cunninghami,144.8572,-34.51917
Egernia cunninghami,150.1370462,-33.29503022
